 m,M ->b,B
x-axis: "Sqrt(S)"  from 50.000000 to 10000.000000 N_points= 100
Asymmetry
5.000000E+01 -5.036425E-01
1.505051E+02 5.530841E-01
2.510101E+02 6.184381E-01
3.515152E+02 6.287654E-01
4.520202E+02 6.324789E-01
5.525253E+02 6.344958E-01
6.530303E+02 6.359183E-01
7.535354E+02 6.370993E-01
8.540404E+02 6.381714E-01
9.545455E+02 6.391825E-01
1.055051E+03 6.401378E-01
1.155556E+03 6.410146E-01
1.256061E+03 6.417645E-01
1.356566E+03 6.423104E-01
1.457071E+03 6.425382E-01
1.557576E+03 6.422825E-01
1.658081E+03 6.413049E-01
1.758586E+03 6.392599E-01
1.859091E+03 6.356427E-01
1.959596E+03 6.297076E-01
2.060101E+03 6.203396E-01
2.160606E+03 6.058515E-01
2.261111E+03 5.836644E-01
2.361616E+03 5.498192E-01
2.462121E+03 4.982858E-01
2.562626E+03 4.201982E-01
2.663131E+03 3.037495E-01
2.763636E+03 1.371369E-01
2.864141E+03 -8.057719E-02
2.964646E+03 -3.191791E-01
3.065152E+03 -5.098751E-01
3.165657E+03 -5.886453E-01
3.266162E+03 -5.533128E-01
3.366667E+03 -4.512955E-01
3.467172E+03 -3.298402E-01
3.567677E+03 -2.148889E-01
3.668182E+03 -1.156251E-01
3.768687E+03 -3.304512E-02
3.869192E+03 3.481199E-02
3.969697E+03 9.054788E-02
4.070202E+03 1.365693E-01
4.170707E+03 1.748674E-01
4.271212E+03 2.070188E-01
4.371717E+03 2.342512E-01
4.472222E+03 2.575171E-01
4.572727E+03 2.775569E-01
4.673232E+03 2.949499E-01
4.773737E+03 3.101525E-01
4.874242E+03 3.235274E-01
4.974747E+03 3.353650E-01
5.075253E+03 3.459003E-01
5.175758E+03 3.553243E-01
5.276263E+03 3.637941E-01
5.376768E+03 3.714394E-01
5.477273E+03 3.783683E-01
5.577778E+03 3.846714E-01
5.678283E+03 3.904252E-01
5.778788E+03 3.956946E-01
5.879293E+03 4.005348E-01
5.979798E+03 4.049935E-01
6.080303E+03 4.091114E-01
6.180808E+03 4.129240E-01
6.281313E+03 4.164622E-01
6.381818E+03 4.197529E-01
6.482323E+03 4.228197E-01
6.582828E+03 4.256834E-01
6.683333E+03 4.283623E-01
6.783838E+03 4.308728E-01
6.884343E+03 4.332293E-01
6.984848E+03 4.354447E-01
7.085354E+03 4.375306E-01
7.185859E+03 4.394972E-01
7.286364E+03 4.413540E-01
7.386869E+03 4.431093E-01
7.487374E+03 4.447706E-01
7.587879E+03 4.463448E-01
7.688384E+03 4.478383E-01
7.788889E+03 4.492566E-01
7.889394E+03 4.506049E-01
7.989899E+03 4.518879E-01
8.090404E+03 4.531099E-01
8.190909E+03 4.542749E-01
8.291414E+03 4.553866E-01
8.391919E+03 4.564482E-01
8.492424E+03 4.574628E-01
8.592929E+03 4.584333E-01
8.693434E+03 4.593622E-01
8.793939E+03 4.602521E-01
8.894444E+03 4.611051E-01
8.994949E+03 4.619233E-01
9.095455E+03 4.627087E-01
9.195960E+03 4.634630E-01
9.296465E+03 4.641879E-01
9.396970E+03 4.648850E-01
9.497475E+03 4.655557E-01
9.597980E+03 4.662014E-01
9.698485E+03 4.668234E-01
9.798990E+03 4.674228E-01
9.899495E+03 4.680007E-01
1.000000E+04 4.685583E-01
