 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 100
Diff. cross section [pb]
-9.900000E-01 1.194591E-02
-9.700000E-01 1.170902E-02
-9.500000E-01 1.148100E-02
-9.300000E-01 1.126187E-02
-9.100000E-01 1.105161E-02
-8.900000E-01 1.085023E-02
-8.700000E-01 1.065772E-02
-8.500000E-01 1.047410E-02
-8.300000E-01 1.029935E-02
-8.100000E-01 1.013348E-02
-7.900000E-01 9.976490E-03
-7.700000E-01 9.828376E-03
-7.500000E-01 9.689140E-03
-7.300000E-01 9.558781E-03
-7.100000E-01 9.437301E-03
-6.900000E-01 9.324698E-03
-6.700000E-01 9.220973E-03
-6.500000E-01 9.126126E-03
-6.300000E-01 9.040156E-03
-6.100000E-01 8.963065E-03
-5.900000E-01 8.894851E-03
-5.700000E-01 8.835515E-03
-5.500000E-01 8.785057E-03
-5.300000E-01 8.743477E-03
-5.100000E-01 8.710774E-03
-4.900000E-01 8.686950E-03
-4.700000E-01 8.672003E-03
-4.500000E-01 8.665934E-03
-4.300000E-01 8.668742E-03
-4.100000E-01 8.680429E-03
-3.900000E-01 8.700993E-03
-3.700000E-01 8.730435E-03
-3.500000E-01 8.768755E-03
-3.300000E-01 8.815953E-03
-3.100000E-01 8.872029E-03
-2.900000E-01 8.936982E-03
-2.700000E-01 9.010814E-03
-2.500000E-01 9.093523E-03
-2.300000E-01 9.185109E-03
-2.100000E-01 9.285574E-03
-1.900000E-01 9.394917E-03
-1.700000E-01 9.513137E-03
-1.500000E-01 9.640235E-03
-1.300000E-01 9.776211E-03
-1.100000E-01 9.921065E-03
-9.000000E-02 1.007480E-02
-7.000000E-02 1.023741E-02
-5.000000E-02 1.040889E-02
-3.000000E-02 1.058926E-02
-1.000000E-02 1.077850E-02
1.000000E-02 1.097662E-02
3.000000E-02 1.118362E-02
5.000000E-02 1.139950E-02
7.000000E-02 1.162425E-02
9.000000E-02 1.185788E-02
1.100000E-01 1.210039E-02
1.300000E-01 1.235178E-02
1.500000E-01 1.261204E-02
1.700000E-01 1.288119E-02
1.900000E-01 1.315921E-02
2.100000E-01 1.344611E-02
2.300000E-01 1.374188E-02
2.500000E-01 1.404654E-02
2.700000E-01 1.436007E-02
2.900000E-01 1.468248E-02
3.100000E-01 1.501377E-02
3.300000E-01 1.535393E-02
3.500000E-01 1.570298E-02
3.700000E-01 1.606090E-02
3.900000E-01 1.642770E-02
4.100000E-01 1.680337E-02
4.300000E-01 1.718793E-02
4.500000E-01 1.758136E-02
4.700000E-01 1.798367E-02
4.900000E-01 1.839486E-02
5.100000E-01 1.881493E-02
5.300000E-01 1.924387E-02
5.500000E-01 1.968169E-02
5.700000E-01 2.012839E-02
5.900000E-01 2.058397E-02
6.100000E-01 2.104842E-02
6.300000E-01 2.152175E-02
6.500000E-01 2.200397E-02
6.700000E-01 2.249505E-02
6.900000E-01 2.299502E-02
7.100000E-01 2.350386E-02
7.300000E-01 2.402159E-02
7.500000E-01 2.454819E-02
7.700000E-01 2.508366E-02
7.900000E-01 2.562802E-02
8.100000E-01 2.618125E-02
8.300000E-01 2.674336E-02
8.500000E-01 2.731435E-02
8.700000E-01 2.789422E-02
8.900000E-01 2.848296E-02
9.100000E-01 2.908058E-02
9.300000E-01 2.968708E-02
9.500000E-01 3.030246E-02
9.700000E-01 3.092672E-02
9.900000E-01 3.155985E-02
