 m,M ->b,B
x-axis: "Sqrt(S)"  from 50.000000 to 10000.000000 N_points= 100
Cross Section [pb]
5.000000E+01 1.446945E+01
1.505051E+02 6.754787E+00
2.510101E+02 1.519089E+00
3.515152E+02 7.009278E-01
4.520202E+02 4.062743E-01
5.525253E+02 2.650162E-01
6.530303E+02 1.859985E-01
7.535354E+02 1.372127E-01
8.540404E+02 1.049329E-01
9.545455E+02 8.244466E-02
1.055051E+03 6.613802E-02
1.155556E+03 5.392847E-02
1.256061E+03 4.454265E-02
1.356566E+03 3.716660E-02
1.457071E+03 3.126017E-02
1.557576E+03 2.645347E-02
1.658081E+03 2.248644E-02
1.758586E+03 1.917212E-02
1.859091E+03 1.637358E-02
1.959596E+03 1.398912E-02
2.060101E+03 1.194246E-02
2.160606E+03 1.017630E-02
2.261111E+03 8.647967E-03
2.361616E+03 7.326812E-03
2.462121E+03 6.192729E-03
2.562626E+03 5.235946E-03
2.663131E+03 4.458146E-03
2.763636E+03 3.875476E-03
2.864141E+03 3.524552E-03
2.964646E+03 3.473794E-03
3.065152E+03 3.844916E-03
3.165657E+03 4.855256E-03
3.266162E+03 6.906132E-03
3.366667E+03 1.078226E-02
3.467172E+03 1.815064E-02
3.567677E+03 3.299333E-02
3.668182E+03 6.661154E-02
3.768687E+03 1.612806E-01
3.869192E+03 5.861662E-01
3.969697E+03 1.252205E+01
4.070202E+03 2.652516E+00
4.170707E+03 5.041322E-01
4.271212E+03 2.223018E-01
4.371717E+03 1.306137E-01
4.472222E+03 8.865613E-02
4.572727E+03 6.558076E-02
4.673232E+03 5.133365E-02
4.773737E+03 4.180831E-02
4.874242E+03 3.505878E-02
4.974747E+03 3.005981E-02
5.075253E+03 2.622643E-02
5.175758E+03 2.320349E-02
5.276263E+03 2.076426E-02
5.376768E+03 1.875798E-02
5.477273E+03 1.708086E-02
5.577778E+03 1.565936E-02
5.678283E+03 1.444002E-02
5.778788E+03 1.338315E-02
5.879293E+03 1.245869E-02
5.979798E+03 1.164350E-02
6.080303E+03 1.091949E-02
6.180808E+03 1.027232E-02
6.281313E+03 9.690492E-03
6.381818E+03 9.164685E-03
6.482323E+03 8.687258E-03
6.582828E+03 8.251898E-03
6.683333E+03 7.853341E-03
6.783838E+03 7.487164E-03
6.884343E+03 7.149624E-03
6.984848E+03 6.837536E-03
7.085354E+03 6.548167E-03
7.185859E+03 6.279163E-03
7.286364E+03 6.028485E-03
7.386869E+03 5.794355E-03
7.487374E+03 5.575222E-03
7.587879E+03 5.369719E-03
7.688384E+03 5.176641E-03
7.788889E+03 4.994924E-03
7.889394E+03 4.823618E-03
7.989899E+03 4.661878E-03
8.090404E+03 4.508948E-03
8.190909E+03 4.364148E-03
8.291414E+03 4.226869E-03
8.391919E+03 4.096558E-03
8.492424E+03 3.972717E-03
8.592929E+03 3.854893E-03
8.693434E+03 3.742673E-03
8.793939E+03 3.635685E-03
8.894444E+03 3.533584E-03
8.994949E+03 3.436057E-03
9.095455E+03 3.342818E-03
9.195960E+03 3.253601E-03
9.296465E+03 3.168165E-03
9.396970E+03 3.086285E-03
9.497475E+03 3.007754E-03
9.597980E+03 2.932382E-03
9.698485E+03 2.859991E-03
9.798990E+03 2.790417E-03
9.899495E+03 2.723508E-03
1.000000E+04 2.659121E-03
