 m,M ->b,B
x-axis: "Sqrt(S)"  from 20.000000 to 150.000000 N_points= 100
Asymmetry
2.000000E+01 -6.655352E-02
2.131313E+01 -7.771100E-02
2.262626E+01 -8.971863E-02
2.393939E+01 -1.025910E-01
2.525253E+01 -1.163416E-01
2.656566E+01 -1.309819E-01
2.787879E+01 -1.465202E-01
2.919192E+01 -1.629607E-01
3.050505E+01 -1.803022E-01
3.181818E+01 -1.985360E-01
3.313131E+01 -2.176450E-01
3.444444E+01 -2.376007E-01
3.575758E+01 -2.583617E-01
3.707071E+01 -2.798706E-01
3.838384E+01 -3.020517E-01
3.969697E+01 -3.248076E-01
4.101010E+01 -3.480169E-01
4.232323E+01 -3.715307E-01
4.363636E+01 -3.951700E-01
4.494949E+01 -4.187238E-01
4.626263E+01 -4.419475E-01
4.757576E+01 -4.645624E-01
4.888889E+01 -4.862568E-01
5.020202E+01 -5.066894E-01
5.151515E+01 -5.254938E-01
5.282828E+01 -5.422866E-01
5.414141E+01 -5.566772E-01
5.545455E+01 -5.682807E-01
5.676768E+01 -5.767321E-01
5.808081E+01 -5.817022E-01
5.939394E+01 -5.829144E-01
6.070707E+01 -5.801590E-01
6.202020E+01 -5.733070E-01
6.333333E+01 -5.623192E-01
6.464646E+01 -5.472513E-01
6.595960E+01 -5.282532E-01
6.727273E+01 -5.055635E-01
6.858586E+01 -4.794992E-01
6.989899E+01 -4.504406E-01
7.121212E+01 -4.188147E-01
7.252525E+01 -3.850764E-01
7.383838E+01 -3.496905E-01
7.515152E+01 -3.131153E-01
7.646465E+01 -2.757881E-01
7.777778E+01 -2.381143E-01
7.909091E+01 -2.004591E-01
8.040404E+01 -1.631430E-01
8.171717E+01 -1.264392E-01
8.303030E+01 -9.057447E-02
8.434343E+01 -5.573045E-02
8.565657E+01 -2.204742E-02
8.696970E+01 1.037179E-02
8.828283E+01 4.145723E-02
8.959596E+01 7.116725E-02
9.090909E+01 9.948398E-02
9.222222E+01 1.264091E-01
9.353535E+01 1.519601E-01
9.484848E+01 1.761669E-01
9.616162E+01 1.990685E-01
9.747475E+01 2.207114E-01
9.878788E+01 2.411463E-01
1.001010E+02 2.604275E-01
1.014141E+02 2.786106E-01
1.027273E+02 2.957521E-01
1.040404E+02 3.119079E-01
1.053535E+02 3.271330E-01
1.066667E+02 3.414810E-01
1.079798E+02 3.550035E-01
1.092929E+02 3.677500E-01
1.106061E+02 3.797678E-01
1.119192E+02 3.911019E-01
1.132323E+02 4.017947E-01
1.145455E+02 4.118863E-01
1.158586E+02 4.214145E-01
1.171717E+02 4.304147E-01
1.184848E+02 4.389203E-01
1.197980E+02 4.469623E-01
1.211111E+02 4.545698E-01
1.224242E+02 4.617700E-01
1.237374E+02 4.685869E-01
1.250505E+02 4.749618E-01
1.263636E+02 4.811679E-01
1.276768E+02 4.869848E-01
1.289899E+02 4.925004E-01
1.303030E+02 4.977375E-01
1.316162E+02 5.027136E-01
1.329293E+02 5.074443E-01
1.342424E+02 5.119444E-01
1.355556E+02 5.162274E-01
1.368687E+02 5.203060E-01
1.381818E+02 5.241923E-01
1.394949E+02 5.278972E-01
1.408081E+02 5.314312E-01
1.421212E+02 5.348039E-01
1.434343E+02 5.380245E-01
1.447475E+02 5.411012E-01
1.460606E+02 5.440423E-01
1.473737E+02 5.468549E-01
1.486869E+02 5.495461E-01
1.500000E+02 5.521225E-01
