 m,M ->b,B
x-axis: "Sqrt(S)"  from 10.000000 to 200.000000 N_points= 100
Asymmetry
1.000000E+01 -7.823304E-03
1.191919E+01 -1.571559E-02
1.383838E+01 -2.510105E-02
1.575758E+01 -3.612080E-02
1.767677E+01 -4.882540E-02
1.959596E+01 -6.325796E-02
2.151515E+01 -7.946395E-02
2.343434E+01 -9.749018E-02
2.535354E+01 -1.173809E-01
2.727273E+01 -1.391727E-01
2.919192E+01 -1.628877E-01
3.111111E+01 -1.885257E-01
3.303030E+01 -2.160537E-01
3.494949E+01 -2.453941E-01
3.686869E+01 -2.764094E-01
3.878788E+01 -3.088852E-01
4.070707E+01 -3.425118E-01
4.262626E+01 -3.768640E-01
4.454545E+01 -4.113829E-01
4.646465E+01 -4.453616E-01
4.838384E+01 -4.779388E-01
5.030303E+01 -5.081065E-01
5.222222E+01 -5.347346E-01
5.414141E+01 -5.566199E-01
5.606061E+01 -5.725580E-01
5.797980E+01 -5.814368E-01
5.989899E+01 -5.823421E-01
6.181818E+01 -5.746600E-01
6.373737E+01 -5.581594E-01
6.565657E+01 -5.330351E-01
6.757576E+01 -4.999033E-01
6.949495E+01 -4.597468E-01
7.141414E+01 -4.138194E-01
7.333333E+01 -3.635298E-01
7.525253E+01 -3.103209E-01
7.717172E+01 -2.555668E-01
7.909091E+01 -2.004947E-01
8.101010E+01 -1.461376E-01
8.292929E+01 -9.331606E-02
8.484848E+01 -4.264145E-02
8.676768E+01 5.465124E-03
8.868687E+01 5.074538E-02
9.060606E+01 9.307350E-02
9.252525E+01 1.324265E-01
9.444444E+01 1.688576E-01
9.636364E+01 2.024735E-01
9.828283E+01 2.334163E-01
1.002020E+02 2.618489E-01
1.021212E+02 2.879445E-01
1.040404E+02 3.118788E-01
1.059596E+02 3.338243E-01
1.078788E+02 3.539468E-01
1.097980E+02 3.724031E-01
1.117172E+02 3.893397E-01
1.136364E+02 4.048922E-01
1.155556E+02 4.191854E-01
1.174747E+02 4.323333E-01
1.193939E+02 4.444399E-01
1.213131E+02 4.555997E-01
1.232323E+02 4.658982E-01
1.251515E+02 4.754128E-01
1.270707E+02 4.842137E-01
1.289899E+02 4.923641E-01
1.309091E+02 4.999210E-01
1.328283E+02 5.069362E-01
1.347475E+02 5.134564E-01
1.366667E+02 5.195235E-01
1.385859E+02 5.251758E-01
1.405051E+02 5.304478E-01
1.424242E+02 5.353706E-01
1.443434E+02 5.399726E-01
1.462626E+02 5.442794E-01
1.481818E+02 5.483145E-01
1.501010E+02 5.520988E-01
1.520202E+02 5.556518E-01
1.539394E+02 5.589910E-01
1.558586E+02 5.621323E-01
1.577778E+02 5.650905E-01
1.596970E+02 5.678788E-01
1.616162E+02 5.705095E-01
1.635354E+02 5.729938E-01
1.654545E+02 5.753418E-01
1.673737E+02 5.775630E-01
1.692929E+02 5.796660E-01
1.712121E+02 5.816588E-01
1.731313E+02 5.835487E-01
1.750505E+02 5.853424E-01
1.769697E+02 5.870461E-01
1.788889E+02 5.886656E-01
1.808081E+02 5.902062E-01
1.827273E+02 5.916727E-01
1.846465E+02 5.930698E-01
1.865657E+02 5.944015E-01
1.884848E+02 5.956719E-01
1.904040E+02 5.968845E-01
1.923232E+02 5.980427E-01
1.942424E+02 5.991497E-01
1.961616E+02 6.002083E-01
1.980808E+02 6.012213E-01
2.000000E+02 6.021913E-01
