 m,M -> b,B
x-axis: "Cosine(p1,p3)Diff. cross section [pb"  from -1.000000 to 1.000000 N_bins= 150
s section [pb]
-9.933333E-01 1.053275E+02 +/-  1.685785E+00
-9.800000E-01 1.038706E+02 +/-  1.662877E+00
-9.666667E-01 1.025082E+02 +/-  1.647016E+00
-9.533333E-01 1.012340E+02 +/-  1.630554E+00
-9.400000E-01 9.988660E+01 +/-  1.611152E+00
-9.266667E-01 9.859006E+01 +/-  1.606676E+00
-9.133333E-01 9.721843E+01 +/-  1.585795E+00
-9.000000E-01 9.601562E+01 +/-  1.574956E+00
-8.866667E-01 9.481564E+01 +/-  1.564450E+00
-8.733333E-01 9.364532E+01 +/-  1.544917E+00
-8.600000E-01 9.240963E+01 +/-  1.540325E+00
-8.466667E-01 9.114370E+01 +/-  1.522976E+00
-8.333333E-01 9.009518E+01 +/-  1.508266E+00
-8.200000E-01 8.894349E+01 +/-  1.502659E+00
-8.066667E-01 8.785800E+01 +/-  1.485585E+00
-7.933333E-01 8.680940E+01 +/-  1.474058E+00
-7.800000E-01 8.571659E+01 +/-  1.466720E+00
-7.666667E-01 8.466458E+01 +/-  1.449777E+00
-7.533333E-01 8.362770E+01 +/-  1.440046E+00
-7.400000E-01 8.268916E+01 +/-  1.432952E+00
-7.266667E-01 8.172613E+01 +/-  1.416899E+00
-7.133333E-01 8.076765E+01 +/-  1.408038E+00
-7.000000E-01 7.980155E+01 +/-  1.400819E+00
-6.866667E-01 7.890771E+01 +/-  1.385766E+00
-6.733333E-01 7.800786E+01 +/-  1.376121E+00
-6.600000E-01 7.716513E+01 +/-  1.371262E+00
-6.466667E-01 7.629774E+01 +/-  1.357124E+00
-6.333333E-01 7.552901E+01 +/-  1.345952E+00
-6.200000E-01 7.467661E+01 +/-  1.343390E+00
-6.066667E-01 7.395098E+01 +/-  1.331394E+00
-5.933333E-01 7.322107E+01 +/-  1.318039E+00
-5.800000E-01 7.244817E+01 +/-  1.316828E+00
-5.666667E-01 7.166366E+01 +/-  1.306692E+00
-5.533333E-01 7.111951E+01 +/-  1.295481E+00
-5.400000E-01 7.036889E+01 +/-  1.288262E+00
-5.266667E-01 6.971679E+01 +/-  1.285360E+00
-5.133333E-01 6.918295E+01 +/-  1.274866E+00
-5.000000E-01 6.841859E+01 +/-  1.262277E+00
-4.866667E-01 6.796883E+01 +/-  1.264363E+00
-4.733333E-01 6.742258E+01 +/-  1.255970E+00
-4.600000E-01 6.681859E+01 +/-  1.245362E+00
-4.466667E-01 6.631865E+01 +/-  1.239166E+00
-4.333333E-01 6.590032E+01 +/-  1.240262E+00
-4.200000E-01 6.533580E+01 +/-  1.230507E+00
-4.066667E-01 6.502053E+01 +/-  1.223279E+00
-3.933333E-01 6.439564E+01 +/-  1.219396E+00
-3.800000E-01 6.408115E+01 +/-  1.217349E+00
-3.666667E-01 6.378378E+01 +/-  1.211037E+00
-3.533333E-01 6.328076E+01 +/-  1.202785E+00
-3.400000E-01 6.313462E+01 +/-  1.204718E+00
-3.266667E-01 6.271018E+01 +/-  1.199682E+00
-3.133333E-01 6.242923E+01 +/-  1.194102E+00
-3.000000E-01 6.208133E+01 +/-  1.188725E+00
-2.866667E-01 6.194406E+01 +/-  1.190118E+00
-2.733333E-01 6.157359E+01 +/-  1.185328E+00
-2.600000E-01 6.143975E+01 +/-  1.182087E+00
-2.466667E-01 6.135591E+01 +/-  1.180253E+00
-2.333333E-01 6.112959E+01 +/-  1.179552E+00
-2.200000E-01 6.098077E+01 +/-  1.177403E+00
-2.066667E-01 6.077639E+01 +/-  1.174326E+00
-1.933333E-01 6.075714E+01 +/-  1.173733E+00
-1.800000E-01 6.070386E+01 +/-  1.173754E+00
-1.666667E-01 6.065474E+01 +/-  1.173067E+00
-1.533333E-01 6.060512E+01 +/-  1.172325E+00
-1.400000E-01 6.054888E+01 +/-  1.171670E+00
-1.266667E-01 6.056087E+01 +/-  1.171631E+00
-1.133333E-01 6.065234E+01 +/-  1.172725E+00
-1.000000E-01 6.073313E+01 +/-  1.173869E+00
-8.666667E-02 6.069236E+01 +/-  1.173939E+00
-7.333333E-02 6.092170E+01 +/-  1.175535E+00
-6.000000E-02 6.097783E+01 +/-  1.176527E+00
-4.666667E-02 6.116472E+01 +/-  1.179266E+00
-3.333333E-02 6.128795E+01 +/-  1.181613E+00
-2.000000E-02 6.149446E+01 +/-  1.182612E+00
-6.666667E-03 6.171881E+01 +/-  1.185240E+00
6.666667E-03 6.191440E+01 +/-  1.188797E+00
2.000000E-02 6.212413E+01 +/-  1.192519E+00
3.333333E-02 6.247485E+01 +/-  1.194399E+00
4.666667E-02 6.283084E+01 +/-  1.197966E+00
6.000000E-02 6.299144E+01 +/-  1.202333E+00
7.333333E-02 6.345196E+01 +/-  1.208599E+00
8.666667E-02 6.375891E+01 +/-  1.209249E+00
1.000000E-01 6.420066E+01 +/-  1.214659E+00
1.133333E-01 6.449668E+01 +/-  1.221340E+00
1.266667E-01 6.506603E+01 +/-  1.228190E+00
1.400000E-01 6.532601E+01 +/-  1.227194E+00
1.533333E-01 6.595978E+01 +/-  1.236649E+00
1.666667E-01 6.641970E+01 +/-  1.245015E+00
1.800000E-01 6.692691E+01 +/-  1.249588E+00
1.933333E-01 6.749334E+01 +/-  1.252625E+00
2.066667E-01 6.803153E+01 +/-  1.262831E+00
2.200000E-01 6.852148E+01 +/-  1.270703E+00
2.333333E-01 6.923936E+01 +/-  1.274149E+00
2.466667E-01 6.988967E+01 +/-  1.282572E+00
2.600000E-01 7.044839E+01 +/-  1.293238E+00
2.733333E-01 7.110341E+01 +/-  1.299371E+00
2.866667E-01 7.185575E+01 +/-  1.303655E+00
3.000000E-01 7.251018E+01 +/-  1.315961E+00
3.133333E-01 7.331887E+01 +/-  1.326395E+00
3.266667E-01 7.405330E+01 +/-  1.329733E+00
3.400000E-01 7.485518E+01 +/-  1.341384E+00
3.533333E-01 7.558900E+01 +/-  1.353185E+00
3.666667E-01 7.642688E+01 +/-  1.358003E+00
3.800000E-01 7.727475E+01 +/-  1.367661E+00
3.933333E-01 7.817461E+01 +/-  1.382275E+00
4.066667E-01 7.900776E+01 +/-  1.388275E+00
4.200000E-01 8.000008E+01 +/-  1.397572E+00
4.333333E-01 8.085646E+01 +/-  1.412533E+00
4.466667E-01 8.186054E+01 +/-  1.420582E+00
4.600000E-01 8.274435E+01 +/-  1.428362E+00
4.733333E-01 8.378040E+01 +/-  1.445180E+00
4.866667E-01 8.488818E+01 +/-  1.453842E+00
5.000000E-01 8.584337E+01 +/-  1.463019E+00
5.133333E-01 8.697948E+01 +/-  1.480483E+00
5.266667E-01 8.796219E+01 +/-  1.486739E+00
5.400000E-01 8.914130E+01 +/-  1.499807E+00
5.533333E-01 9.025020E+01 +/-  1.515993E+00
5.666667E-01 9.139071E+01 +/-  1.522374E+00
5.800000E-01 9.255004E+01 +/-  1.538245E+00
5.933333E-01 9.380860E+01 +/-  1.553212E+00
6.066667E-01 9.492368E+01 +/-  1.559638E+00
6.200000E-01 9.626768E+01 +/-  1.579675E+00
6.333333E-01 9.743475E+01 +/-  1.588682E+00
6.466667E-01 9.873289E+01 +/-  1.602330E+00
6.600000E-01 1.000239E+02 +/-  1.620544E+00
6.733333E-01 1.014369E+02 +/-  1.627686E+00
6.866667E-01 1.027032E+02 +/-  1.647309E+00
7.000000E-01 1.040928E+02 +/-  1.658404E+00
7.133333E-01 1.055962E+02 +/-  1.674375E+00
7.266667E-01 1.069078E+02 +/-  1.691333E+00
7.400000E-01 1.082039E+02 +/-  1.699563E+00
7.533333E-01 1.097847E+02 +/-  1.721437E+00
7.666667E-01 1.113304E+02 +/-  1.731886E+00
7.800000E-01 1.128102E+02 +/-  1.751444E+00
7.933333E-01 1.142228E+02 +/-  1.762461E+00
8.066667E-01 1.158898E+02 +/-  1.779451E+00
8.200000E-01 1.174074E+02 +/-  1.793993E+00
8.333333E-01 1.190652E+02 +/-  1.810598E+00
8.466667E-01 1.204888E+02 +/-  1.825979E+00
8.600000E-01 1.223042E+02 +/-  1.844023E+00
8.733333E-01 1.238453E+02 +/-  1.859939E+00
8.866667E-01 1.255363E+02 +/-  1.877106E+00
9.000000E-01 1.272703E+02 +/-  1.893331E+00
9.133333E-01 1.289836E+02 +/-  1.910973E+00
9.266667E-01 1.307047E+02 +/-  1.923703E+00
9.400000E-01 1.324366E+02 +/-  1.942715E+00
9.533333E-01 1.343766E+02 +/-  1.961207E+00
9.666667E-01 1.359426E+02 +/-  1.982354E+00
9.800000E-01 1.379074E+02 +/-  2.001517E+00
9.933333E-01 1.398107E+02 +/-  2.027123E+00
