 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 100
Diff. cross section [pb]
-9.900000E-01 6.498802E-06
-9.700000E-01 6.498802E-06
-9.500000E-01 6.498802E-06
-9.300000E-01 6.498802E-06
-9.100000E-01 6.498802E-06
-8.900000E-01 6.498802E-06
-8.700000E-01 6.498802E-06
-8.500000E-01 6.498802E-06
-8.300000E-01 6.498802E-06
-8.100000E-01 6.498802E-06
-7.900000E-01 6.498802E-06
-7.700000E-01 6.498802E-06
-7.500000E-01 6.498802E-06
-7.300000E-01 6.498802E-06
-7.100000E-01 6.498802E-06
-6.900000E-01 6.498802E-06
-6.700000E-01 6.498802E-06
-6.500000E-01 6.498802E-06
-6.300000E-01 6.498802E-06
-6.100000E-01 6.498802E-06
-5.900000E-01 6.498802E-06
-5.700000E-01 6.498802E-06
-5.500000E-01 6.498802E-06
-5.300000E-01 6.498802E-06
-5.100000E-01 6.498802E-06
-4.900000E-01 6.498802E-06
-4.700000E-01 6.498802E-06
-4.500000E-01 6.498802E-06
-4.300000E-01 6.498802E-06
-4.100000E-01 6.498802E-06
-3.900000E-01 6.498802E-06
-3.700000E-01 6.498802E-06
-3.500000E-01 6.498802E-06
-3.300000E-01 6.498802E-06
-3.100000E-01 6.498802E-06
-2.900000E-01 6.498802E-06
-2.700000E-01 6.498802E-06
-2.500000E-01 6.498802E-06
-2.300000E-01 6.498802E-06
-2.100000E-01 6.498802E-06
-1.900000E-01 6.498802E-06
-1.700000E-01 6.498802E-06
-1.500000E-01 6.498802E-06
-1.300000E-01 6.498802E-06
-1.100000E-01 6.498802E-06
-9.000000E-02 6.498802E-06
-7.000000E-02 6.498802E-06
-5.000000E-02 6.498802E-06
-3.000000E-02 6.498802E-06
-1.000000E-02 6.498802E-06
1.000000E-02 6.498802E-06
3.000000E-02 6.498802E-06
5.000000E-02 6.498802E-06
7.000000E-02 6.498802E-06
9.000000E-02 6.498802E-06
1.100000E-01 6.498802E-06
1.300000E-01 6.498802E-06
1.500000E-01 6.498802E-06
1.700000E-01 6.498802E-06
1.900000E-01 6.498802E-06
2.100000E-01 6.498802E-06
2.300000E-01 6.498802E-06
2.500000E-01 6.498802E-06
2.700000E-01 6.498802E-06
2.900000E-01 6.498802E-06
3.100000E-01 6.498802E-06
3.300000E-01 6.498802E-06
3.500000E-01 6.498802E-06
3.700000E-01 6.498802E-06
3.900000E-01 6.498802E-06
4.100000E-01 6.498802E-06
4.300000E-01 6.498802E-06
4.500000E-01 6.498802E-06
4.700000E-01 6.498802E-06
4.900000E-01 6.498802E-06
5.100000E-01 6.498802E-06
5.300000E-01 6.498802E-06
5.500000E-01 6.498802E-06
5.700000E-01 6.498802E-06
5.900000E-01 6.498802E-06
6.100000E-01 6.498802E-06
6.300000E-01 6.498802E-06
6.500000E-01 6.498802E-06
6.700000E-01 6.498802E-06
6.900000E-01 6.498802E-06
7.100000E-01 6.498802E-06
7.300000E-01 6.498802E-06
7.500000E-01 6.498802E-06
7.700000E-01 6.498802E-06
7.900000E-01 6.498802E-06
8.100000E-01 6.498802E-06
8.300000E-01 6.498802E-06
8.500000E-01 6.498802E-06
8.700000E-01 6.498802E-06
8.900000E-01 6.498802E-06
9.100000E-01 6.498802E-06
9.300000E-01 6.498802E-06
9.500000E-01 6.498802E-06
9.700000E-01 6.498802E-06
9.900000E-01 6.498802E-06
