 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 100
Diff. cross section [pb]
-9.900000E-01 1.282137E+00
-9.700000E-01 1.256603E+00
-9.500000E-01 1.231590E+00
-9.300000E-01 1.207098E+00
-9.100000E-01 1.183127E+00
-8.900000E-01 1.159678E+00
-8.700000E-01 1.136749E+00
-8.500000E-01 1.114342E+00
-8.300000E-01 1.092456E+00
-8.100000E-01 1.071090E+00
-7.900000E-01 1.050246E+00
-7.700000E-01 1.029923E+00
-7.500000E-01 1.010121E+00
-7.300000E-01 9.908406E-01
-7.100000E-01 9.720809E-01
-6.900000E-01 9.538423E-01
-6.700000E-01 9.361248E-01
-6.500000E-01 9.189284E-01
-6.300000E-01 9.022532E-01
-6.100000E-01 8.860990E-01
-5.900000E-01 8.704659E-01
-5.700000E-01 8.553539E-01
-5.500000E-01 8.407631E-01
-5.300000E-01 8.266933E-01
-5.100000E-01 8.131447E-01
-4.900000E-01 8.001171E-01
-4.700000E-01 7.876106E-01
-4.500000E-01 7.756253E-01
-4.300000E-01 7.641610E-01
-4.100000E-01 7.532179E-01
-3.900000E-01 7.427958E-01
-3.700000E-01 7.328949E-01
-3.500000E-01 7.235150E-01
-3.300000E-01 7.146563E-01
-3.100000E-01 7.063187E-01
-2.900000E-01 6.985021E-01
-2.700000E-01 6.912067E-01
-2.500000E-01 6.844324E-01
-2.300000E-01 6.781791E-01
-2.100000E-01 6.724470E-01
-1.900000E-01 6.672360E-01
-1.700000E-01 6.625461E-01
-1.500000E-01 6.583772E-01
-1.300000E-01 6.547295E-01
-1.100000E-01 6.516029E-01
-9.000000E-02 6.489974E-01
-7.000000E-02 6.469130E-01
-5.000000E-02 6.453497E-01
-3.000000E-02 6.443075E-01
-1.000000E-02 6.437864E-01
1.000000E-02 6.437864E-01
3.000000E-02 6.443075E-01
5.000000E-02 6.453497E-01
7.000000E-02 6.469130E-01
9.000000E-02 6.489974E-01
1.100000E-01 6.516029E-01
1.300000E-01 6.547295E-01
1.500000E-01 6.583772E-01
1.700000E-01 6.625461E-01
1.900000E-01 6.672360E-01
2.100000E-01 6.724470E-01
2.300000E-01 6.781791E-01
2.500000E-01 6.844324E-01
2.700000E-01 6.912067E-01
2.900000E-01 6.985021E-01
3.100000E-01 7.063187E-01
3.300000E-01 7.146563E-01
3.500000E-01 7.235150E-01
3.700000E-01 7.328949E-01
3.900000E-01 7.427958E-01
4.100000E-01 7.532179E-01
4.300000E-01 7.641610E-01
4.500000E-01 7.756253E-01
4.700000E-01 7.876106E-01
4.900000E-01 8.001171E-01
5.100000E-01 8.131447E-01
5.300000E-01 8.266933E-01
5.500000E-01 8.407631E-01
5.700000E-01 8.553539E-01
5.900000E-01 8.704659E-01
6.100000E-01 8.860990E-01
6.300000E-01 9.022532E-01
6.500000E-01 9.189284E-01
6.700000E-01 9.361248E-01
6.900000E-01 9.538423E-01
7.100000E-01 9.720809E-01
7.300000E-01 9.908406E-01
7.500000E-01 1.010121E+00
7.700000E-01 1.029923E+00
7.900000E-01 1.050246E+00
8.100000E-01 1.071090E+00
8.300000E-01 1.092456E+00
8.500000E-01 1.114342E+00
8.700000E-01 1.136749E+00
8.900000E-01 1.159678E+00
9.100000E-01 1.183127E+00
9.300000E-01 1.207098E+00
9.500000E-01 1.231590E+00
9.700000E-01 1.256603E+00
9.900000E-01 1.282137E+00
