 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 100
Diff. cross section [pb]
-9.900000E-01 3.288250E+00
-9.700000E-01 3.224159E+00
-9.500000E-01 3.164039E+00
-9.300000E-01 3.107890E+00
-9.100000E-01 3.055712E+00
-8.900000E-01 3.007506E+00
-8.700000E-01 2.963270E+00
-8.500000E-01 2.923006E+00
-8.300000E-01 2.886712E+00
-8.100000E-01 2.854390E+00
-7.900000E-01 2.826039E+00
-7.700000E-01 2.801659E+00
-7.500000E-01 2.781250E+00
-7.300000E-01 2.764812E+00
-7.100000E-01 2.752345E+00
-6.900000E-01 2.743850E+00
-6.700000E-01 2.739325E+00
-6.500000E-01 2.738772E+00
-6.300000E-01 2.742190E+00
-6.100000E-01 2.749579E+00
-5.900000E-01 2.760939E+00
-5.700000E-01 2.776270E+00
-5.500000E-01 2.795572E+00
-5.300000E-01 2.818845E+00
-5.100000E-01 2.846090E+00
-4.900000E-01 2.877305E+00
-4.700000E-01 2.912492E+00
-4.500000E-01 2.951650E+00
-4.300000E-01 2.994779E+00
-4.100000E-01 3.041879E+00
-3.900000E-01 3.092950E+00
-3.700000E-01 3.147992E+00
-3.500000E-01 3.207005E+00
-3.300000E-01 3.269990E+00
-3.100000E-01 3.336945E+00
-2.900000E-01 3.407872E+00
-2.700000E-01 3.482770E+00
-2.500000E-01 3.561639E+00
-2.300000E-01 3.644479E+00
-2.100000E-01 3.731290E+00
-1.900000E-01 3.822072E+00
-1.700000E-01 3.916825E+00
-1.500000E-01 4.015550E+00
-1.300000E-01 4.118245E+00
-1.100000E-01 4.224912E+00
-9.000000E-02 4.335550E+00
-7.000000E-02 4.450159E+00
-5.000000E-02 4.568739E+00
-3.000000E-02 4.691290E+00
-1.000000E-02 4.817812E+00
1.000000E-02 4.948306E+00
3.000000E-02 5.082770E+00
5.000000E-02 5.221206E+00
7.000000E-02 5.363613E+00
9.000000E-02 5.509990E+00
1.100000E-01 5.660339E+00
1.300000E-01 5.814659E+00
1.500000E-01 5.972950E+00
1.700000E-01 6.135213E+00
1.900000E-01 6.301446E+00
2.100000E-01 6.471651E+00
2.300000E-01 6.645826E+00
2.500000E-01 6.823973E+00
2.700000E-01 7.006091E+00
2.900000E-01 7.192180E+00
3.100000E-01 7.382240E+00
3.300000E-01 7.576271E+00
3.500000E-01 7.774273E+00
3.700000E-01 7.976247E+00
3.900000E-01 8.182191E+00
4.100000E-01 8.392107E+00
4.300000E-01 8.605994E+00
4.500000E-01 8.823852E+00
4.700000E-01 9.045681E+00
4.900000E-01 9.271481E+00
5.100000E-01 9.501252E+00
5.300000E-01 9.734994E+00
5.500000E-01 9.972708E+00
5.700000E-01 1.021439E+01
5.900000E-01 1.046005E+01
6.100000E-01 1.070967E+01
6.300000E-01 1.096327E+01
6.500000E-01 1.122084E+01
6.700000E-01 1.148238E+01
6.900000E-01 1.174789E+01
7.100000E-01 1.201737E+01
7.300000E-01 1.229083E+01
7.500000E-01 1.256825E+01
7.700000E-01 1.284965E+01
7.900000E-01 1.313502E+01
8.100000E-01 1.342435E+01
8.300000E-01 1.371766E+01
8.500000E-01 1.401494E+01
8.700000E-01 1.431619E+01
8.900000E-01 1.462142E+01
9.100000E-01 1.493061E+01
9.300000E-01 1.524377E+01
9.500000E-01 1.556091E+01
9.700000E-01 1.588202E+01
9.900000E-01 1.620709E+01
