 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 100
Diff. cross section [pb]
-9.900000E-01 7.044405E+00
-9.700000E-01 6.903987E+00
-9.500000E-01 6.766909E+00
-9.300000E-01 6.633172E+00
-9.100000E-01 6.502775E+00
-8.900000E-01 6.375719E+00
-8.700000E-01 6.252004E+00
-8.500000E-01 6.131630E+00
-8.300000E-01 6.014596E+00
-8.100000E-01 5.900903E+00
-7.900000E-01 5.790551E+00
-7.700000E-01 5.683539E+00
-7.500000E-01 5.579868E+00
-7.300000E-01 5.479538E+00
-7.100000E-01 5.382549E+00
-6.900000E-01 5.288900E+00
-6.700000E-01 5.198592E+00
-6.500000E-01 5.111625E+00
-6.300000E-01 5.027998E+00
-6.100000E-01 4.947712E+00
-5.900000E-01 4.870767E+00
-5.700000E-01 4.797162E+00
-5.500000E-01 4.726898E+00
-5.300000E-01 4.659975E+00
-5.100000E-01 4.596393E+00
-4.900000E-01 4.536151E+00
-4.700000E-01 4.479250E+00
-4.500000E-01 4.425689E+00
-4.300000E-01 4.375470E+00
-4.100000E-01 4.328591E+00
-3.900000E-01 4.285052E+00
-3.700000E-01 4.244855E+00
-3.500000E-01 4.207998E+00
-3.300000E-01 4.174482E+00
-3.100000E-01 4.144306E+00
-2.900000E-01 4.117471E+00
-2.700000E-01 4.093977E+00
-2.500000E-01 4.073824E+00
-2.300000E-01 4.057011E+00
-2.100000E-01 4.043539E+00
-1.900000E-01 4.033408E+00
-1.700000E-01 4.026617E+00
-1.500000E-01 4.023168E+00
-1.300000E-01 4.023058E+00
-1.100000E-01 4.026290E+00
-9.000000E-02 4.032862E+00
-7.000000E-02 4.042775E+00
-5.000000E-02 4.056029E+00
-3.000000E-02 4.072623E+00
-1.000000E-02 4.092558E+00
1.000000E-02 4.115834E+00
3.000000E-02 4.142450E+00
5.000000E-02 4.172407E+00
7.000000E-02 4.205705E+00
9.000000E-02 4.242344E+00
1.100000E-01 4.282323E+00
1.300000E-01 4.325643E+00
1.500000E-01 4.372303E+00
1.700000E-01 4.422305E+00
1.900000E-01 4.475647E+00
2.100000E-01 4.532330E+00
2.300000E-01 4.592353E+00
2.500000E-01 4.655717E+00
2.700000E-01 4.722422E+00
2.900000E-01 4.792467E+00
3.100000E-01 4.865854E+00
3.300000E-01 4.942581E+00
3.500000E-01 5.022648E+00
3.700000E-01 5.106057E+00
3.900000E-01 5.192806E+00
4.100000E-01 5.282895E+00
4.300000E-01 5.376326E+00
4.500000E-01 5.473097E+00
4.700000E-01 5.573209E+00
4.900000E-01 5.676661E+00
5.100000E-01 5.783454E+00
5.300000E-01 5.893588E+00
5.500000E-01 6.007063E+00
5.700000E-01 6.123878E+00
5.900000E-01 6.244034E+00
6.100000E-01 6.367531E+00
6.300000E-01 6.494368E+00
6.500000E-01 6.624547E+00
6.700000E-01 6.758065E+00
6.900000E-01 6.894925E+00
7.100000E-01 7.035125E+00
7.300000E-01 7.178666E+00
7.500000E-01 7.325548E+00
7.700000E-01 7.475770E+00
7.900000E-01 7.629333E+00
8.100000E-01 7.786237E+00
8.300000E-01 7.946481E+00
8.500000E-01 8.110066E+00
8.700000E-01 8.276992E+00
8.900000E-01 8.447259E+00
9.100000E-01 8.620866E+00
9.300000E-01 8.797814E+00
9.500000E-01 8.978102E+00
9.700000E-01 9.161732E+00
9.900000E-01 9.348702E+00
