 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 100
Diff. cross section [pb]
-9.900000E-01 8.300328E+01
-9.700000E-01 8.135844E+01
-9.500000E-01 7.976525E+01
-9.300000E-01 7.822371E+01
-9.100000E-01 7.673382E+01
-8.900000E-01 7.529558E+01
-8.700000E-01 7.390899E+01
-8.500000E-01 7.257405E+01
-8.300000E-01 7.129077E+01
-8.100000E-01 7.005913E+01
-7.900000E-01 6.887915E+01
-7.700000E-01 6.775082E+01
-7.500000E-01 6.667413E+01
-7.300000E-01 6.564910E+01
-7.100000E-01 6.467573E+01
-6.900000E-01 6.375400E+01
-6.700000E-01 6.288392E+01
-6.500000E-01 6.206550E+01
-6.300000E-01 6.129872E+01
-6.100000E-01 6.058360E+01
-5.900000E-01 5.992013E+01
-5.700000E-01 5.930831E+01
-5.500000E-01 5.874814E+01
-5.300000E-01 5.823962E+01
-5.100000E-01 5.778275E+01
-4.900000E-01 5.737754E+01
-4.700000E-01 5.702397E+01
-4.500000E-01 5.672206E+01
-4.300000E-01 5.647180E+01
-4.100000E-01 5.627319E+01
-3.900000E-01 5.612623E+01
-3.700000E-01 5.603092E+01
-3.500000E-01 5.598726E+01
-3.300000E-01 5.599526E+01
-3.100000E-01 5.605490E+01
-2.900000E-01 5.616620E+01
-2.700000E-01 5.632914E+01
-2.500000E-01 5.654374E+01
-2.300000E-01 5.680999E+01
-2.100000E-01 5.712789E+01
-1.900000E-01 5.749744E+01
-1.700000E-01 5.791865E+01
-1.500000E-01 5.839150E+01
-1.300000E-01 5.891601E+01
-1.100000E-01 5.949216E+01
-9.000000E-02 6.011997E+01
-7.000000E-02 6.079943E+01
-5.000000E-02 6.153054E+01
-3.000000E-02 6.231330E+01
-1.000000E-02 6.314772E+01
1.000000E-02 6.403378E+01
3.000000E-02 6.497149E+01
5.000000E-02 6.596086E+01
7.000000E-02 6.700188E+01
9.000000E-02 6.809455E+01
1.100000E-01 6.923887E+01
1.300000E-01 7.043484E+01
1.500000E-01 7.168246E+01
1.700000E-01 7.298173E+01
1.900000E-01 7.433266E+01
2.100000E-01 7.573523E+01
2.300000E-01 7.718946E+01
2.500000E-01 7.869534E+01
2.700000E-01 8.025287E+01
2.900000E-01 8.186205E+01
3.100000E-01 8.352288E+01
3.300000E-01 8.523536E+01
3.500000E-01 8.699949E+01
3.700000E-01 8.881528E+01
3.900000E-01 9.068272E+01
4.100000E-01 9.260180E+01
4.300000E-01 9.457254E+01
4.500000E-01 9.659493E+01
4.700000E-01 9.866897E+01
4.900000E-01 1.007947E+02
5.100000E-01 1.029720E+02
5.300000E-01 1.052010E+02
5.500000E-01 1.074816E+02
5.700000E-01 1.098139E+02
5.900000E-01 1.121979E+02
6.100000E-01 1.146335E+02
6.300000E-01 1.171207E+02
6.500000E-01 1.196596E+02
6.700000E-01 1.222502E+02
6.900000E-01 1.248924E+02
7.100000E-01 1.275863E+02
7.300000E-01 1.303318E+02
7.500000E-01 1.331289E+02
7.700000E-01 1.359777E+02
7.900000E-01 1.388782E+02
8.100000E-01 1.418303E+02
8.300000E-01 1.448341E+02
8.500000E-01 1.478895E+02
8.700000E-01 1.509965E+02
8.900000E-01 1.541553E+02
9.100000E-01 1.573656E+02
9.300000E-01 1.606276E+02
9.500000E-01 1.639413E+02
9.700000E-01 1.673066E+02
9.900000E-01 1.707236E+02
