 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 2.163707E+00
-9.702970E-01 2.121165E+00
-9.504950E-01 2.079483E+00
-9.306931E-01 2.038660E+00
-9.108911E-01 1.998696E+00
-8.910891E-01 1.959592E+00
-8.712871E-01 1.921347E+00
-8.514851E-01 1.883962E+00
-8.316832E-01 1.847436E+00
-8.118812E-01 1.811770E+00
-7.920792E-01 1.776963E+00
-7.722772E-01 1.743016E+00
-7.524752E-01 1.709928E+00
-7.326733E-01 1.677699E+00
-7.128713E-01 1.646330E+00
-6.930693E-01 1.615820E+00
-6.732673E-01 1.586170E+00
-6.534653E-01 1.557379E+00
-6.336634E-01 1.529447E+00
-6.138614E-01 1.502375E+00
-5.940594E-01 1.476163E+00
-5.742574E-01 1.450810E+00
-5.544554E-01 1.426316E+00
-5.346535E-01 1.402681E+00
-5.148515E-01 1.379907E+00
-4.950495E-01 1.357991E+00
-4.752475E-01 1.336935E+00
-4.554455E-01 1.316738E+00
-4.356436E-01 1.297401E+00
-4.158416E-01 1.278924E+00
-3.960396E-01 1.261305E+00
-3.762376E-01 1.244546E+00
-3.564356E-01 1.228647E+00
-3.366337E-01 1.213607E+00
-3.168317E-01 1.199426E+00
-2.970297E-01 1.186105E+00
-2.772277E-01 1.173643E+00
-2.574257E-01 1.162041E+00
-2.376238E-01 1.151298E+00
-2.178218E-01 1.141415E+00
-1.980198E-01 1.132391E+00
-1.782178E-01 1.124226E+00
-1.584158E-01 1.116921E+00
-1.386139E-01 1.110475E+00
-1.188119E-01 1.104889E+00
-9.900990E-02 1.100162E+00
-7.920792E-02 1.096295E+00
-5.940594E-02 1.093287E+00
-3.960396E-02 1.091138E+00
-1.980198E-02 1.089849E+00
-8.673617E-18 1.089419E+00
1.980198E-02 1.089849E+00
3.960396E-02 1.091138E+00
5.940594E-02 1.093287E+00
7.920792E-02 1.096295E+00
9.900990E-02 1.100162E+00
1.188119E-01 1.104889E+00
1.386139E-01 1.110475E+00
1.584158E-01 1.116921E+00
1.782178E-01 1.124226E+00
1.980198E-01 1.132391E+00
2.178218E-01 1.141415E+00
2.376238E-01 1.151298E+00
2.574257E-01 1.162041E+00
2.772277E-01 1.173643E+00
2.970297E-01 1.186105E+00
3.168317E-01 1.199426E+00
3.366337E-01 1.213607E+00
3.564356E-01 1.228647E+00
3.762376E-01 1.244546E+00
3.960396E-01 1.261305E+00
4.158416E-01 1.278924E+00
4.356436E-01 1.297401E+00
4.554455E-01 1.316738E+00
4.752475E-01 1.336935E+00
4.950495E-01 1.357991E+00
5.148515E-01 1.379907E+00
5.346535E-01 1.402681E+00
5.544554E-01 1.426316E+00
5.742574E-01 1.450810E+00
5.940594E-01 1.476163E+00
6.138614E-01 1.502375E+00
6.336634E-01 1.529447E+00
6.534653E-01 1.557379E+00
6.732673E-01 1.586170E+00
6.930693E-01 1.615820E+00
7.128713E-01 1.646330E+00
7.326733E-01 1.677699E+00
7.524752E-01 1.709928E+00
7.722772E-01 1.743016E+00
7.920792E-01 1.776963E+00
8.118812E-01 1.811770E+00
8.316832E-01 1.847436E+00
8.514851E-01 1.883962E+00
8.712871E-01 1.921347E+00
8.910891E-01 1.959592E+00
9.108911E-01 1.998696E+00
9.306931E-01 2.038660E+00
9.504950E-01 2.079483E+00
9.702970E-01 2.121165E+00
9.900990E-01 2.163707E+00
