 m,M ->b,B
x-axis: "cos(p1,p3)"  from -1.000000 to 1.000000 N_points= 101
Diff. cross section [pb]
-9.900990E-01 8.302292E+01
-9.702970E-01 8.139388E+01
-9.504950E-01 7.981548E+01
-9.306931E-01 7.828771E+01
-9.108911E-01 7.681057E+01
-8.910891E-01 7.538407E+01
-8.712871E-01 7.400820E+01
-8.514851E-01 7.268297E+01
-8.316832E-01 7.140837E+01
-8.118812E-01 7.018440E+01
-7.920792E-01 6.901107E+01
-7.722772E-01 6.788837E+01
-7.524752E-01 6.681630E+01
-7.326733E-01 6.579487E+01
-7.128713E-01 6.482407E+01
-6.930693E-01 6.390390E+01
-6.732673E-01 6.303437E+01
-6.534653E-01 6.221547E+01
-6.336634E-01 6.144721E+01
-6.138614E-01 6.072958E+01
-5.940594E-01 6.006258E+01
-5.742574E-01 5.944622E+01
-5.544554E-01 5.888049E+01
-5.346535E-01 5.836540E+01
-5.148515E-01 5.790094E+01
-4.950495E-01 5.748711E+01
-4.752475E-01 5.712392E+01
-4.554455E-01 5.681136E+01
-4.356436E-01 5.654943E+01
-4.158416E-01 5.633814E+01
-3.960396E-01 5.617748E+01
-3.762376E-01 5.606745E+01
-3.564356E-01 5.600806E+01
-3.366337E-01 5.599930E+01
-3.168317E-01 5.604118E+01
-2.970297E-01 5.613369E+01
-2.772277E-01 5.627683E+01
-2.574257E-01 5.647061E+01
-2.376238E-01 5.671502E+01
-2.178218E-01 5.701007E+01
-1.980198E-01 5.735575E+01
-1.782178E-01 5.775206E+01
-1.584158E-01 5.819901E+01
-1.386139E-01 5.869659E+01
-1.188119E-01 5.924480E+01
-9.900990E-02 5.984365E+01
-7.920792E-02 6.049313E+01
-5.940594E-02 6.119324E+01
-3.960396E-02 6.194399E+01
-1.980198E-02 6.274537E+01
-8.673617E-18 6.359739E+01
1.980198E-02 6.450004E+01
3.960396E-02 6.545332E+01
5.940594E-02 6.645724E+01
7.920792E-02 6.751179E+01
9.900990E-02 6.861698E+01
1.188119E-01 6.977280E+01
1.386139E-01 7.097925E+01
1.584158E-01 7.223634E+01
1.782178E-01 7.354406E+01
1.980198E-01 7.490241E+01
2.178218E-01 7.631140E+01
2.376238E-01 7.777102E+01
2.574257E-01 7.928127E+01
2.772277E-01 8.084216E+01
2.970297E-01 8.245368E+01
3.168317E-01 8.411584E+01
3.366337E-01 8.582863E+01
3.564356E-01 8.759206E+01
3.762376E-01 8.940611E+01
3.960396E-01 9.127080E+01
4.158416E-01 9.318613E+01
4.356436E-01 9.515209E+01
4.554455E-01 9.716868E+01
4.752475E-01 9.923591E+01
4.950495E-01 1.013538E+02
5.148515E-01 1.035223E+02
5.346535E-01 1.057414E+02
5.544554E-01 1.080111E+02
5.742574E-01 1.103315E+02
5.940594E-01 1.127026E+02
6.138614E-01 1.151242E+02
6.336634E-01 1.175965E+02
6.534653E-01 1.201195E+02
6.732673E-01 1.226930E+02
6.930693E-01 1.253172E+02
7.128713E-01 1.279921E+02
7.326733E-01 1.307175E+02
7.524752E-01 1.334936E+02
7.722772E-01 1.363204E+02
7.920792E-01 1.391977E+02
8.118812E-01 1.421257E+02
8.316832E-01 1.451044E+02
8.514851E-01 1.481336E+02
8.712871E-01 1.512135E+02
8.910891E-01 1.543441E+02
9.108911E-01 1.575252E+02
9.306931E-01 1.607570E+02
9.504950E-01 1.640395E+02
9.702970E-01 1.673725E+02
9.900990E-01 1.707562E+02
