 m,M ->b,B
x-axis: "Sqrt(S)"  from 20.000000 to 200.000000 N_points= 100
Cross Section [pb]
2.000000E+01 7.150252E+01
2.181818E+01 6.030438E+01
2.363636E+01 5.150640E+01
2.545455E+01 4.448222E+01
2.727273E+01 3.879181E+01
2.909091E+01 3.412111E+01
3.090909E+01 3.024212E+01
3.272727E+01 2.698658E+01
3.454545E+01 2.422832E+01
3.636364E+01 2.187136E+01
3.818182E+01 1.984169E+01
4.000000E+01 1.808155E+01
4.181818E+01 1.654536E+01
4.363636E+01 1.519672E+01
4.545455E+01 1.400636E+01
4.727273E+01 1.295047E+01
4.909091E+01 1.200955E+01
5.090909E+01 1.116751E+01
5.272727E+01 1.041098E+01
5.454545E+01 9.728769E+00
5.636364E+01 9.111456E+00
5.818182E+01 8.551068E+00
6.000000E+01 8.040818E+00
6.181818E+01 7.574900E+00
6.363636E+01 7.148327E+00
6.545455E+01 6.756790E+00
6.727273E+01 6.396557E+00
6.909091E+01 6.064378E+00
7.090909E+01 5.757415E+00
7.272727E+01 5.473178E+00
7.454545E+01 5.209480E+00
7.636364E+01 4.964388E+00
7.818182E+01 4.736193E+00
8.000000E+01 4.523376E+00
8.181818E+01 4.324586E+00
8.363636E+01 4.138617E+00
8.545455E+01 3.964391E+00
8.727273E+01 3.800938E+00
8.909091E+01 3.647389E+00
9.090909E+01 3.502960E+00
9.272727E+01 3.366942E+00
9.454545E+01 3.238695E+00
9.636364E+01 3.117637E+00
9.818182E+01 3.003242E+00
1.000000E+02 2.895030E+00
1.018182E+02 2.792562E+00
1.036364E+02 2.695440E+00
1.054545E+02 2.603297E+00
1.072727E+02 2.515800E+00
1.090909E+02 2.432641E+00
1.109091E+02 2.353538E+00
1.127273E+02 2.278231E+00
1.145455E+02 2.206481E+00
1.163636E+02 2.138069E+00
1.181818E+02 2.072789E+00
1.200000E+02 2.010454E+00
1.218182E+02 1.950889E+00
1.236364E+02 1.893933E+00
1.254545E+02 1.839434E+00
1.272727E+02 1.787255E+00
1.290909E+02 1.737265E+00
1.309091E+02 1.689343E+00
1.327273E+02 1.643377E+00
1.345455E+02 1.599262E+00
1.363636E+02 1.556900E+00
1.381818E+02 1.516199E+00
1.400000E+02 1.477073E+00
1.418182E+02 1.439442E+00
1.436364E+02 1.403232E+00
1.454545E+02 1.368370E+00
1.472727E+02 1.334792E+00
1.490909E+02 1.302435E+00
1.509091E+02 1.271240E+00
1.527273E+02 1.241153E+00
1.545455E+02 1.212121E+00
1.563636E+02 1.184096E+00
1.581818E+02 1.157032E+00
1.600000E+02 1.130886E+00
1.618182E+02 1.105615E+00
1.636364E+02 1.081183E+00
1.654545E+02 1.057551E+00
1.672727E+02 1.034686E+00
1.690909E+02 1.012554E+00
1.709091E+02 9.911252E-01
1.727273E+02 9.703693E-01
1.745455E+02 9.502586E-01
1.763636E+02 9.307667E-01
1.781818E+02 9.118684E-01
1.800000E+02 8.935399E-01
1.818182E+02 8.757585E-01
1.836364E+02 8.585026E-01
1.854545E+02 8.417518E-01
1.872727E+02 8.254864E-01
1.890909E+02 8.096880E-01
1.909091E+02 7.943389E-01
1.927273E+02 7.794221E-01
1.945455E+02 7.649215E-01
1.963636E+02 7.508219E-01
1.981818E+02 7.371086E-01
2.000000E+02 7.237675E-01
