 m,M ->b,B
x-axis: "Sqrt(S)"  from 20.000000 to 200.000000 N_points= 100
Cross Section [pb]
2.000000E+01 7.135750E+01
2.181818E+01 6.021805E+01
2.363636E+01 5.148727E+01
2.545455E+01 4.453943E+01
2.727273E+01 3.893536E+01
2.909091E+01 3.436208E+01
3.090909E+01 3.059288E+01
3.272727E+01 2.746103E+01
3.454545E+01 2.484221E+01
3.636364E+01 2.264262E+01
3.818182E+01 2.079084E+01
4.000000E+01 1.923221E+01
4.181818E+01 1.792483E+01
4.363636E+01 1.683680E+01
4.545455E+01 1.594424E+01
4.727273E+01 1.522996E+01
4.909091E+01 1.468261E+01
5.090909E+01 1.429616E+01
5.272727E+01 1.406984E+01
5.454545E+01 1.400836E+01
5.636364E+01 1.412259E+01
5.818182E+01 1.443074E+01
6.000000E+01 1.496024E+01
6.181818E+01 1.575071E+01
6.363636E+01 1.685836E+01
6.545455E+01 1.836288E+01
6.727273E+01 2.037822E+01
6.909091E+01 2.306994E+01
7.090909E+01 2.668392E+01
7.272727E+01 3.159597E+01
7.454545E+01 3.840117E+01
7.636364E+01 4.808376E+01
7.818182E+01 6.236208E+01
8.000000E+01 8.444755E+01
8.181818E+01 1.208937E+02
8.363636E+01 1.867434E+02
8.545455E+01 3.227100E+02
8.727273E+01 6.695667E+02
8.909091E+01 1.934395E+03
9.090909E+01 7.226660E+03
9.272727E+01 3.107262E+03
9.454545E+01 9.720000E+02
9.636364E+01 4.504080E+02
9.818182E+01 2.592203E+02
1.000000E+02 1.693547E+02
1.018182E+02 1.200900E+02
1.036364E+02 9.014657E+01
1.054545E+02 7.055284E+01
1.072727E+02 5.700237E+01
1.090909E+02 4.721966E+01
1.109091E+02 3.991025E+01
1.127273E+02 3.429329E+01
1.145455E+02 2.987484E+01
1.163636E+02 2.632979E+01
1.181818E+02 2.343697E+01
1.200000E+02 2.104157E+01
1.218182E+02 1.903251E+01
1.236364E+02 1.732845E+01
1.254545E+02 1.589313E+01
1.272727E+02 1.460633E+01
1.290909E+02 1.350650E+01
1.309091E+02 1.254120E+01
1.327273E+02 1.168836E+01
1.345455E+02 1.093036E+01
1.363636E+02 1.025297E+01
1.381818E+02 9.644581E+00
1.400000E+02 9.095640E+00
1.418182E+02 8.598231E+00
1.436364E+02 8.145742E+00
1.454545E+02 7.732614E+00
1.472727E+02 7.354143E+00
1.490909E+02 7.006328E+00
1.509091E+02 6.685741E+00
1.527273E+02 6.389437E+00
1.545455E+02 6.114868E+00
1.563636E+02 5.859824E+00
1.581818E+02 5.622375E+00
1.600000E+02 5.400834E+00
1.618182E+02 5.193715E+00
1.636364E+02 4.999711E+00
1.654545E+02 4.817662E+00
1.672727E+02 4.646540E+00
1.690909E+02 4.485427E+00
1.709091E+02 4.333504E+00
1.727273E+02 4.190039E+00
1.745455E+02 4.054371E+00
1.763636E+02 3.925906E+00
1.781818E+02 3.804109E+00
1.800000E+02 3.688495E+00
1.818182E+02 3.578623E+00
1.836364E+02 3.474093E+00
1.854545E+02 3.374542E+00
1.872727E+02 3.279635E+00
1.890909E+02 3.189070E+00
1.909091E+02 3.102567E+00
1.927273E+02 3.019871E+00
1.945455E+02 2.940747E+00
1.963636E+02 2.864979E+00
1.981818E+02 2.792366E+00
2.000000E+02 2.722725E+00
