 m,M ->b,B
x-axis: "Sqrt(S)"  from 20.000000 to 200.000000 N_points= 100
Cross Section [pb]
2.000000E+01 7.135745E+01
2.181818E+01 6.021794E+01
2.363636E+01 5.148709E+01
2.545455E+01 4.453918E+01
2.727273E+01 3.893503E+01
2.909091E+01 3.436165E+01
3.090909E+01 3.059235E+01
3.272727E+01 2.746040E+01
3.454545E+01 2.484147E+01
3.636364E+01 2.264175E+01
3.818182E+01 2.078983E+01
4.000000E+01 1.923104E+01
4.181818E+01 1.792350E+01
4.363636E+01 1.683528E+01
4.545455E+01 1.594252E+01
4.727273E+01 1.522803E+01
4.909091E+01 1.468044E+01
5.090909E+01 1.429373E+01
5.272727E+01 1.406711E+01
5.454545E+01 1.400531E+01
5.636364E+01 1.411918E+01
5.818182E+01 1.442691E+01
6.000000E+01 1.495597E+01
6.181818E+01 1.574592E+01
6.363636E+01 1.685298E+01
6.545455E+01 1.835683E+01
6.727273E+01 2.037140E+01
6.909091E+01 2.306221E+01
7.090909E+01 2.667512E+01
7.272727E+01 3.158589E+01
7.454545E+01 3.838953E+01
7.636364E+01 4.807017E+01
7.818182E+01 6.234602E+01
8.000000E+01 8.442822E+01
8.181818E+01 1.208699E+02
8.363636E+01 1.867131E+02
8.545455E+01 3.226695E+02
8.727273E+01 6.695083E+02
8.909091E+01 1.934303E+03
9.090909E+01 7.226614E+03
9.272727E+01 3.107371E+03
9.454545E+01 9.720755E+02
9.636364E+01 4.504622E+02
9.818182E+01 2.592626E+02
1.000000E+02 1.693896E+02
1.018182E+02 1.201200E+02
1.036364E+02 9.017291E+01
1.054545E+02 7.057650E+01
1.072727E+02 5.702393E+01
1.090909E+02 4.723956E+01
1.109091E+02 3.992878E+01
1.127273E+02 3.431069E+01
1.145455E+02 2.989128E+01
1.163636E+02 2.634541E+01
1.181818E+02 2.345188E+01
1.200000E+02 2.105586E+01
1.218182E+02 1.904625E+01
1.236364E+02 1.734163E+01
1.254545E+02 1.588118E+01
1.272727E+02 1.461871E+01
1.290909E+02 1.351859E+01
1.309091E+02 1.255298E+01
1.327273E+02 1.169985E+01
1.345455E+02 1.094160E+01
1.363636E+02 1.026397E+01
1.381818E+02 9.655356E+00
1.400000E+02 9.106210E+00
1.418182E+02 8.608612E+00
1.436364E+02 8.155947E+00
1.454545E+02 7.742655E+00
1.472727E+02 7.364032E+00
1.490909E+02 7.016074E+00
1.509091E+02 6.695354E+00
1.527273E+02 6.398924E+00
1.545455E+02 6.124238E+00
1.563636E+02 5.869083E+00
1.581818E+02 5.631529E+00
1.600000E+02 5.409889E+00
1.618182E+02 5.202677E+00
1.636364E+02 5.008585E+00
1.654545E+02 4.826452E+00
1.672727E+02 4.655250E+00
1.690909E+02 4.494061E+00
1.709091E+02 4.342067E+00
1.727273E+02 4.198533E+00
1.745455E+02 4.062800E+00
1.763636E+02 3.934273E+00
1.781818E+02 3.812417E+00
1.800000E+02 3.696746E+00
1.818182E+02 3.586819E+00
1.836364E+02 3.482238E+00
1.854545E+02 3.382636E+00
1.872727E+02 3.287682E+00
1.890909E+02 3.197070E+00
1.909091E+02 3.110524E+00
1.927273E+02 3.027785E+00
1.945455E+02 2.948621E+00
1.963636E+02 2.872813E+00
1.981818E+02 2.800163E+00
2.000000E+02 2.730486E+00
