 m,M -> b,B
x-axis: "Cosine(p1,p3)Diff. cross section [pb"  from -1.000000 to 1.000000 N_bins= 150
s section [pb]
-9.933333E-01 2.464066E+00 +/-  3.743822E-02
-9.800000E-01 2.431735E+00 +/-  3.694161E-02
-9.666667E-01 2.400417E+00 +/-  3.664397E-02
-9.533333E-01 2.369796E+00 +/-  3.619458E-02
-9.400000E-01 2.337896E+00 +/-  3.595677E-02
-9.266667E-01 2.308224E+00 +/-  3.558118E-02
-9.133333E-01 2.276324E+00 +/-  3.528138E-02
-9.000000E-01 2.245685E+00 +/-  3.499178E-02
-8.866667E-01 2.220083E+00 +/-  3.467343E-02
-8.733333E-01 2.188271E+00 +/-  3.442601E-02
-8.600000E-01 2.161549E+00 +/-  3.405522E-02
-8.466667E-01 2.133755E+00 +/-  3.388143E-02
-8.333333E-01 2.104808E+00 +/-  3.352114E-02
-8.200000E-01 2.079160E+00 +/-  3.330005E-02
-8.066667E-01 2.050567E+00 +/-  3.298831E-02
-7.933333E-01 2.024872E+00 +/-  3.267298E-02
-7.800000E-01 1.999990E+00 +/-  3.247459E-02
-7.666667E-01 1.974487E+00 +/-  3.214085E-02
-7.533333E-01 1.949654E+00 +/-  3.194327E-02
-7.400000E-01 1.925387E+00 +/-  3.164977E-02
-7.266667E-01 1.900685E+00 +/-  3.135056E-02
-7.133333E-01 1.878146E+00 +/-  3.119353E-02
-7.000000E-01 1.853562E+00 +/-  3.085668E-02
-6.866667E-01 1.831839E+00 +/-  3.064222E-02
-6.733333E-01 1.808215E+00 +/-  3.042239E-02
-6.600000E-01 1.786280E+00 +/-  3.011322E-02
-6.466667E-01 1.766761E+00 +/-  2.997046E-02
-6.333333E-01 1.745841E+00 +/-  2.971504E-02
-6.200000E-01 1.724120E+00 +/-  2.942245E-02
-6.066667E-01 1.705895E+00 +/-  2.932239E-02
-5.933333E-01 1.683154E+00 +/-  2.902060E-02
-5.800000E-01 1.666274E+00 +/-  2.878127E-02
-5.666667E-01 1.646681E+00 +/-  2.867092E-02
-5.533333E-01 1.628373E+00 +/-  2.840803E-02
-5.400000E-01 1.609720E+00 +/-  2.815145E-02
-5.266667E-01 1.593048E+00 +/-  2.806210E-02
-5.133333E-01 1.576292E+00 +/-  2.783251E-02
-5.000000E-01 1.558344E+00 +/-  2.758018E-02
