 m,M -> b,B
x-axis: "Cosine(p1,p3)Diff. cross section [pb"  from -1.000000 to 1.000000 N_bins= 150
s section [pb]
-9.933333E-01 9.446517E+01 +/-  1.183270E+00
-9.800000E-01 9.327523E+01 +/-  1.168090E+00
-9.666667E-01 9.193312E+01 +/-  1.152096E+00
-9.533333E-01 9.092565E+01 +/-  1.147923E+00
-9.400000E-01 8.963568E+01 +/-  1.134183E+00
-9.266667E-01 8.859026E+01 +/-  1.120416E+00
-9.133333E-01 8.742689E+01 +/-  1.121862E+00
-9.000000E-01 8.634818E+01 +/-  1.117549E+00
-8.866667E-01 8.530183E+01 +/-  1.103917E+00
-8.733333E-01 8.432706E+01 +/-  1.094935E+00
-8.600000E-01 8.330835E+01 +/-  1.094944E+00
-8.466667E-01 8.223070E+01 +/-  1.081432E+00
-8.333333E-01 8.137570E+01 +/-  1.069630E+00
-8.200000E-01 8.041160E+01 +/-  1.070936E+00
-8.066667E-01 7.943185E+01 +/-  1.064099E+00
-7.933333E-01 7.869966E+01 +/-  1.053348E+00
-7.800000E-01 7.776077E+01 +/-  1.042426E+00
-7.666667E-01 7.695895E+01 +/-  1.047958E+00
-7.533333E-01 7.613599E+01 +/-  1.037139E+00
-7.400000E-01 7.540543E+01 +/-  1.026991E+00
-7.266667E-01 7.468913E+01 +/-  1.020859E+00
-7.133333E-01 7.396067E+01 +/-  1.023580E+00
-7.000000E-01 7.321537E+01 +/-  1.013640E+00
-6.866667E-01 7.254830E+01 +/-  1.004838E+00
-6.733333E-01 7.189726E+01 +/-  9.994462E-01
-6.600000E-01 7.136778E+01 +/-  1.002576E+00
-6.466667E-01 7.066293E+01 +/-  9.934521E-01
-6.333333E-01 7.014877E+01 +/-  9.866088E-01
-6.200000E-01 6.958072E+01 +/-  9.803324E-01
-6.066667E-01 6.912204E+01 +/-  9.845606E-01
-5.933333E-01 6.857039E+01 +/-  9.771898E-01
-5.800000E-01 6.813708E+01 +/-  9.714105E-01
-5.666667E-01 6.770690E+01 +/-  9.657762E-01
-5.533333E-01 6.728664E+01 +/-  9.674573E-01
-5.400000E-01 6.687548E+01 +/-  9.636494E-01
-5.266667E-01 6.654894E+01 +/-  9.590809E-01
-5.133333E-01 6.624951E+01 +/-  9.547726E-01
-5.000000E-01 6.586403E+01 +/-  9.533886E-01
-4.866667E-01 6.562284E+01 +/-  9.536233E-01
-4.733333E-01 6.536205E+01 +/-  9.500871E-01
-4.600000E-01 6.511206E+01 +/-  9.466458E-01
-4.466667E-01 6.494457E+01 +/-  9.446447E-01
-4.333333E-01 6.474588E+01 +/-  9.459068E-01
-4.200000E-01 6.459304E+01 +/-  9.439701E-01
-4.066667E-01 6.444262E+01 +/-  9.418891E-01
-3.933333E-01 6.437695E+01 +/-  9.409170E-01
-3.800000E-01 6.427487E+01 +/-  9.404067E-01
-3.666667E-01 6.423252E+01 +/-  9.405411E-01
-3.533333E-01 6.423557E+01 +/-  9.403926E-01
-3.400000E-01 6.418960E+01 +/-  9.400215E-01
-3.266667E-01 6.417705E+01 +/-  9.400324E-01
-3.133333E-01 6.434330E+01 +/-  9.405705E-01
-3.000000E-01 6.435702E+01 +/-  9.411442E-01
-2.866667E-01 6.445791E+01 +/-  9.426187E-01
-2.733333E-01 6.460876E+01 +/-  9.441588E-01
-2.600000E-01 6.467443E+01 +/-  9.438349E-01
-2.466667E-01 6.501025E+01 +/-  9.454047E-01
-2.333333E-01 6.513178E+01 +/-  9.477796E-01
-2.200000E-01 6.536875E+01 +/-  9.503587E-01
-2.066667E-01 6.562494E+01 +/-  9.534490E-01
-1.933333E-01 6.590089E+01 +/-  9.518025E-01
-1.800000E-01 6.625089E+01 +/-  9.561281E-01
-1.666667E-01 6.650866E+01 +/-  9.594195E-01
-1.533333E-01 6.694442E+01 +/-  9.645874E-01
-1.400000E-01 6.729652E+01 +/-  9.646188E-01
-1.266667E-01 6.771327E+01 +/-  9.671060E-01
-1.133333E-01 6.815434E+01 +/-  9.722948E-01
-1.000000E-01 6.863456E+01 +/-  9.783453E-01
-8.666667E-02 6.911686E+01 +/-  9.810438E-01
-7.333333E-02 6.961868E+01 +/-  9.811020E-01
-6.000000E-02 7.019840E+01 +/-  9.880471E-01
-4.666667E-02 7.068925E+01 +/-  9.946392E-01
-3.333333E-02 7.139721E+01 +/-  1.000667E+00
-2.000000E-02 7.188708E+01 +/-  9.983684E-01
-6.666667E-03 7.259018E+01 +/-  1.006877E+00
6.666667E-03 7.328816E+01 +/-  1.015474E+00
2.000000E-02 7.397149E+01 +/-  1.021346E+00
3.333333E-02 7.468250E+01 +/-  1.019978E+00
4.666667E-02 7.538323E+01 +/-  1.028848E+00
6.000000E-02 7.620340E+01 +/-  1.039059E+00
7.333333E-02 7.703067E+01 +/-  1.043368E+00
8.666667E-02 7.781107E+01 +/-  1.044992E+00
